Marca temporal,Edat:,Gènere:,Quina relació tens amb la persona diagnosticada?,En quin moment del procés oncològic es troba actualment?,"Quan vas conèixer el diagnòstic, vas rebre informació o orientació sobre com gestionar emocionalment la situació?","Si vas rebre suport per altres persones o entitats, quines són?",Com valores el suport emocional o psicològic que has rebut durant el procés?,Quins aspectes consideres que han estat o són més difícils d'afrontar durant el procés?,"Has sentit en algun moment la necessitat de rebre ajuda professional (psicòleg/a, grup de suport, etc.) per gestionar la situació?","Si has necessitat ajuda o recursos, consideres que aquests han estat fàcilment accessibles per a tu?","Si en tens, quins recursos o estratègies t'han ajudat més a gestionar emocionalment la situació?","Consideres que una guia psicoeducativa per a familiars de pacients amb càncer, lliurada a l'inici del tractament, podria ser útil?",Quina informació o orientació t'hauria ajudat tenir des de l'inici del procés?,"Quins temes consideres més útils per incloure en una guia per a familiars?
(Marca de 3 a 5 opcions)",Vols afegir algun comentari o suggeriment?
30/12/2025 22:28:21,23,Home,Familiar proper,Malaltia no superada,No,Familiars,3,Les males notícies,No,No,Estar en família,Sí,Coneixement sobre la malaltia amb transparència,"Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa",
7/01/2026 18:44:40,64,Dona,Familiar proper,Malaltia no superada,"Sí, per part dels professionals de la salut",,4,Els simptomes del tractament i finalment el dolor,No,Sí,"El suport familiar que ha estat molt, marit, fills, germans,.....no ha calgut mes ajuda ",Sí,"Els serveis sanitaris la van informar molt be, però ella no volía saber gaire cosa de tot el procès ","Com comunicar-se amb els professionals sanitaris, Com afrontar la por, la tristesa o la incertesa, Autocura i benestar del cuidador/a, Recursos de suport (psicològic i/o social)","Penso que tenir una fàcil comunicaciò amb l'equip que porta el pacient ja es molt important, nomès un num.  de telef. per poder resoldre dubtes ja dona tranquil-litat a la familia"
11/01/2026 22:58:20,44,Home,Fill/a,Malaltia no superada,No,,1,La mortalidad tan alta del cáncer ,No,No,,Sí,No sabría ,"Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa",No
9/01/2026 6:46:08,46,Dona,Fill/a,Malaltia no superada,No,,3,El diagnostic greu ,Sí,No,Psicologa experta ,Sí,Abordatge emcional de la situacio,"Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com comunicar-se amb els professionals sanitaris, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa, Autocura i benestar del cuidador/a, Signes d'alerta de sobrecàrrega emocional, Recursos de suport (psicològic i/o social), Que la guia inclogui exercicis o activitats pràctiques",Gràcies pel treball
7/01/2026 22:02:23,49,Dona,Fill/a,Malaltia no superada,No,,1,El patiment del meu pare i el patiment de la familia per no poder fer res,Sí,No,,Sí,"Tenint en compte que aixo va passar fa 40 anys, poca informació hi habia, a part de que s’ocultava molt la realitat de la situació. No se realment que respondre, però m’hagues agradat la veritat des d’un inici","Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa, Autocura i benestar del cuidador/a, Signes d'alerta de sobrecàrrega emocional",
8/01/2026 19:09:15,53,Dona,Fill/a,Malaltia no superada,No,,1,La comunicació amb el pacient el poder afrontar parlar de la malaltia ,Sí,No,La medicació,Sí,Psico-oncològica per els familiars i pacient,"Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa",Personalment he viscut la situació de la mort per neoplàsia de pulmó del meu pare que desde que es va diagnosticar a la mort van passar 3 setmanes . En cap moment ens van oferir cap ajuda al meu pare ni familiars. Ha estat tot molt trist. 
8/01/2026 19:51:41,53,Dona,Fill/a,Malaltia no superada,"Sí, per part dels professionals de la salut",,4,"Tenir-lo a casa i fer-lo anar d'una banda a una altra, sent una persona amb movilitat reduida",Sí,No,,Sí,Centres a on recluir al malat en cas de no poder estar atés com cal a casa,"Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com comunicar-se amb els professionals sanitaris, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa, Autocura i benestar del cuidador/a, Signes d'alerta de sobrecàrrega emocional, Recursos de suport (psicològic i/o social), Que la guia inclogui exercicis o activitats pràctiques",A ni només em van informar i la ajuda va se mínima e insuficient
7/01/2026 16:08:29,60,Dona,Fill/a,Malaltia no superada,No,,1,Entendre i donar suport al malalt en la malaltia,Sí,No,,Sí,un seguiment de professionals de psicologia,"Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa, Signes d'alerta de sobrecàrrega emocional, Que la guia inclogui exercicis o activitats pràctiques",
7/01/2026 10:16:11,64,Dona,Germà/na,Malaltia no superada,"Sí, per part dels professionals de la salut",,3,L'Aceptació,Sí,Sí,Psicolegs,Sí,Mes comunicació amb els metges,"Com comunicar-se amb els professionals sanitaris, Com afrontar la por, la tristesa o la incertesa, Recursos de suport (psicològic i/o social)",
7/01/2026 10:39:57,58,Dona,Parella o persona amb qui comparteixo la vida,Malaltia no superada,"Sí, per part dels professionals de la salut",Maresme oncológico ,5,La soledad,Sí,Sí,Terapia,Sí,Conocer el tránsito de las emociones ,"Com afrontar la por, la tristesa o la incertesa, Autocura i benestar del cuidador/a, Signes d'alerta de sobrecàrrega emocional, Recursos de suport (psicològic i/o social), Que la guia inclogui exercicis o activitats pràctiques",
8/01/2026 7:27:28,57,Dona,Persona amiga o de suport proper,Malaltia no superada,No,,1,No sabes si la persona es realmente consciente de su situación porque no habla de ello y sufres,Sí,No,La compañía de la familia y amigos,Sí,"Maneras de gestionar el sufrimiento, actitudes...","Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa, Recursos de suport (psicològic i/o social)",
7/01/2026 13:34:22,53,Dona,Progenitor/a,Malaltia no superada,No,,1,Desinformació procés,No,No,,Sí,Información del Procés,"Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com comunicar-se amb els professionals sanitaris, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa, Recursos de suport (psicològic i/o social), Que la guia inclogui exercicis o activitats pràctiques",
7/01/2026 13:24:13,59,Dona,Progenitor/a,Malaltia no superada,No,"Germana, amigues",1,El diagnòstic i afrontar que no hi ha res a fer,Sí,Sí,Parlar amb la familia i amics,Sí,"Crec q el mes important és estar ben informat des de l’inici, saber com tractar al pacient i gestionar les emocions davant seu
I suport Psicologic durant tota la malaltia per la persona afectada i la familia","Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa, Recursos de suport (psicològic i/o social)",
7/01/2026 10:32:14,64,Dona,Progenitor/a,Pre-diagnòstic / Fase de proves per a possible diagnòstic,"Sí, per part dels professionals de la salut",Malalts i familiars ,3,La po i la mort,Sí,No,Llegir llibres de la malaltia i de autoajuda.,Sí,Unes pautas a seguir per controlar la ment.,"Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com afrontar la por, la tristesa o la incertesa, Signes d'alerta de sobrecàrrega emocional",No
